++++++++++++++++++++++++++++++++++++++++++
Initiating model: CUEURA1
++++++++++++++++++++++++++++++++++++++++++
+-----------------+-----+-----+-----+-----+---------+-----+-----+-----+-----+---------+-----+-----+-----+-----+---------+-----+-----+-----+-----+---------+-----+-----+-----+-----+---------+
|   Feature\Rois  | TP0 | FP0 | TN0 | FN0 | FScore0 | TP1 | FP1 | TN1 | FN1 | FScore1 | TP2 | FP2 | TN2 | FN2 | FScore2 | TP3 | FP3 | TN3 | FN3 | FScore3 | TP4 | FP4 | TN4 | FN4 | FScore4 |
|       SIFT      |  70 |  16 |  12 |  20 |   0.4   |  34 |  53 |  12 |  19 |   0.25  |  36 |  56 |  13 |  13 |   0.27  |  79 |  9  |  10 |  20 |   0.41  |  45 |  48 |  13 |  12 |   0.3   |
|       SIFT      |  47 |  39 |  27 |  5  |   0.55  |  51 |  36 |  18 |  13 |   0.42  |  86 |  6  |  14 |  12 |   0.61  |  67 |  21 |  21 |  9  |   0.58  |  88 |  5  |  14 |  11 |   0.64  |
|       SIFT      |  81 |  5  |  21 |  11 |   0.72  |  48 |  39 |  16 |  15 |   0.37  |  58 |  34 |  16 |  10 |   0.42  |  40 |  48 |  21 |  9  |   0.42  |  73 |  20 |  16 |  9  |   0.52  |
|       SIFT      |  70 |  16 |  15 |  17 |   0.48  |  83 |  4  |  19 |  12 |   0.7   |  92 |  0  |  8  |  18 |   0.47  |  69 |  19 |  21 |  9  |   0.6   |  51 |  42 |  9  |  16 |   0.24  |
|       SIFT      |  69 |  17 |  19 |  13 |   0.56  |  58 |  29 |  23 |  8  |   0.55  |  79 |  13 |  16 |  10 |   0.58  |  78 |  10 |  17 |  13 |   0.6   |  67 |  26 |  15 |  10 |   0.45  |
|       SIFT      |  57 |  29 |  28 |  4  |   0.63  |  72 |  15 |  21 |  10 |   0.63  |  63 |  29 |  20 |  6  |   0.53  |  78 |  10 |  21 |  9  |   0.69  |  88 |  5  |  15 |  10 |   0.67  |
|       SIFT      |  76 |  10 |  21 |  11 |   0.67  |  87 |  0  |  19 |  12 |   0.76  |  80 |  12 |  19 |  7  |   0.67  |  74 |  14 |  21 |  9  |   0.65  |  91 |  2  |  17 |  8  |   0.77  |
|      DSIFT      |  85 |  1  |  32 |  0  |   0.98  |  87 |  0  |  31 |  0  |   1.0   |  92 |  0  |  26 |  0  |   1.0   |  86 |  2  |  30 |  0  |   0.97  |  93 |  0  |  25 |  0  |   1.0   |
|      DSIFT      |  83 |  3  |  30 |  2  |   0.92  |  85 |  2  |  31 |  0  |   0.97  |  91 |  1  |  25 |  1  |   0.96  |  87 |  1  |  29 |  1  |   0.97  |  92 |  1  |  25 |  0  |   0.98  |
|      DSIFT      |  86 |  0  |  32 |  0  |   1.0   |  83 |  4  |  31 |  0  |   0.94  |  90 |  2  |  25 |  1  |   0.94  |  84 |  4  |  27 |  3  |   0.89  |  93 |  0  |  25 |  0  |   1.0   |
|      DSIFT      |  86 |  0  |  32 |  0  |   1.0   |  87 |  0  |  31 |  0  |   1.0   |  92 |  0  |  26 |  0  |   1.0   |  87 |  1  |  30 |  0  |   0.98  |  93 |  0  |  25 |  0  |   1.0   |
|      DSIFT      |  85 |  1  |  32 |  0  |   0.98  |  87 |  0  |  28 |  3  |   0.95  |  90 |  2  |  26 |  0  |   0.96  |  88 |  0  |  27 |  3  |   0.95  |  93 |  0  |  23 |  2  |   0.96  |
|      DSIFT      |  86 |  0  |  30 |  2  |   0.97  |  87 |  0  |  30 |  1  |   0.98  |  91 |  1  |  26 |  0  |   0.98  |  87 |  1  |  27 |  3  |   0.93  |  92 |  1  |  24 |  1  |   0.96  |
|      DSIFT      |  85 |  1  |  30 |  2  |   0.95  |  85 |  2  |  26 |  5  |   0.88  |  91 |  1  |  25 |  1  |   0.96  |  85 |  3  |  28 |  2  |   0.92  |  93 |  0  |  22 |  3  |   0.94  |
|      DSIFT      |  77 |  9  |  23 |  9  |   0.72  |  72 |  15 |  28 |  3  |   0.76  |  81 |  11 |  25 |  1  |   0.81  |  82 |  6  |  13 |  17 |   0.53  |  37 |  56 |  22 |  3  |   0.43  |
